deviceCategory,sessions,totalUsers,bounceRate,averageSessionDuration
"mobile",1242,1144,0.29146537842190018,102.89809814734299
"desktop",258,228,0.30620155038759689,169.94672343410852
"tablet",15,15,0.26666666666666666,145.55151173333334
