page,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/martin-landaluce",3,373,0.80,9.34
"https://www.tennisfrens.com/players/arthur-landercknech",0,245,0.00,10.83
"https://tennisfrens.com/players/marie-bouzkova",3,231,1.30,9.42
"https://www.tennisfrens.com/players/miomir-kecmanovic",0,157,0.00,9.34
"https://www.tennisfrens.com/players/jiri-lehecka",0,130,0.00,10.12
"https://tennisfrens.com/players/daniel-evans",0,93,0.00,7.18
"https://www.tennisfrens.com/utility/ntrp-test",22,89,24.72,4.43
"https://www.tennisfrens.com/players/camilo-ugo-carabelli",2,87,2.30,7.90
"https://www.tennisfrens.com/players/alexandre-muller",0,69,0.00,8.19
"https://www.tennisfrens.com/players/dino-prizmic",1,56,1.79,8.54
"https://www.tennisfrens.com/",6,55,10.91,6.64
"https://www.tennisfrens.com/players/polina-kudermetova",0,51,0.00,11.59
"https://tennisfrens.com/blog/tennis-lesson-cost-guide",0,48,0.00,6.04
"https://tennisfrens.com/players/yannick-hanfmann",0,48,0.00,10.79
"https://www.tennisfrens.com/players/tomas-machac",0,46,0.00,10.96
"https://www.tennisfrens.com/blog/tennis-error-reduction-guide",1,44,2.27,9.34
"https://www.tennisfrens.com/players/laslo-djere",0,43,0.00,8.77
"https://www.tennisfrens.com/utility/tennis-dictionary",1,37,2.70,11.84
"https://www.tennisfrens.com/players/hamad-medjedovic",0,35,0.00,9.94
"https://www.tennisfrens.com/players/linda-noskova",0,34,0.00,10.94
"https://www.tennisfrens.com/players/carlos-alcaraz",1,32,3.13,45.22
"https://www.tennisfrens.com/players/francisco-comesana",0,32,0.00,7.13
"https://www.tennisfrens.com/players/tallon-griekspoor",0,32,0.00,9.41
"https://www.tennisfrens.com/players/ethan-quinn",0,31,0.00,6.58
"https://www.tennisfrens.com/players/alejandro-davidovich-fokina",0,30,0.00,13.50
"https://www.tennisfrens.com/players/yannick-hanfmann",0,25,0.00,9.12
"https://www.tennisfrens.com/players/jakub-mensik",0,23,0.00,13.65
"https://www.tennisfrens.com/players/jannik-sinner",0,23,0.00,31.83
"https://www.tennisfrens.com/players/karen-khachanov",0,21,0.00,19.81
"https://www.tennisfrens.com/players/luciano-darderi",0,20,0.00,10.50
"https://tennisfrens.com/players/rafael-nadal",0,19,0.00,33.42
"https://www.tennisfrens.com/players/alexandra-eala",0,19,0.00,20.42
"https://www.tennisfrens.com/players/elina-svitolina",0,19,0.00,18.63
"https://tennisfrens.com/players/jannik-sinner",4,18,22.22,16.00
"https://www.tennisfrens.com/blog/tennis-shoe-court-surface-guide",0,18,0.00,8.22
"https://www.tennisfrens.com/players/novak-djokovic",0,18,0.00,38.78
"https://www.tennisfrens.com/players/magda-linette",1,17,5.88,8.24
"https://www.tennisfrens.com/players/ben-shelton",0,17,0.00,27.76
"https://www.tennisfrens.com/players/mirra-andreeva",0,17,0.00,9.71
"https://tennisfrens.com/players/alejandro-davidovich-fokina",0,16,0.00,9.06
"https://tennisfrens.com/players/marin-cilic",0,16,0.00,19.56
"https://www.tennisfrens.com/blog/tennis-string-pattern-16x19-vs-18x20",0,16,0.00,6.94
"https://tennisfrens.com/players/gael-monfils",0,15,0.00,13.80
"https://www.tennisfrens.com/players/andrey-rublev",0,15,0.00,7.47
"https://www.tennisfrens.com/players/elena-rybakina",0,15,0.00,8.60
"https://tennisfrens.com/players/tallon-griekspoor",0,14,0.00,8.71
"https://www.tennisfrens.com/blog/tennis-overgrip-replacement-guide",0,14,0.00,9.79
"https://www.tennisfrens.com/players/flavio-cobolli",0,14,0.00,5.07
"https://www.tennisfrens.com/players/tommy-paul",0,14,0.00,11.43
"https://www.tennisfrens.com/blog/tennis-hybrid-string-setup",2,12,16.67,6.58
"https://www.tennisfrens.com/blog/tommy-paul",0,12,0.00,15.33
"https://www.tennisfrens.com/players/katie-boulter",0,12,0.00,10.17
"https://www.tennisfrens.com/blog/tennis-racket-balance-head-light-guide",1,11,9.09,12.82
"https://www.tennisfrens.com/utility/play-style-test",1,11,9.09,6.64
"https://www.tennisfrens.com/players/alex-michelsen",0,11,0.00,8.09
"https://www.tennisfrens.com/players/felix-auger-aliassime",0,11,0.00,11.09
"https://www.tennisfrens.com/players/madison-keys",0,11,0.00,18.27
"https://www.tennisfrens.com/blog/tennis-club-fee-split-guide",4,10,40.00,9.80
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide",1,10,10.00,9.20
"https://tennisfrens.com/players/aleksandar-vukic",0,10,0.00,35.60
"https://tennisfrens.com/players/mackenzie-mcdonald",0,10,0.00,12.20
"https://www.tennisfrens.com/blog/tennis-strategy-beat-pusher",0,10,0.00,6.70
"https://www.tennisfrens.com/players/moyuka-uchijima",0,10,0.00,11.10
"https://www.tennisfrens.com/players/sorana-cirstea",0,10,0.00,8.40
"https://tennisfrens.com/utility/ntrp-test",1,9,11.11,8.33
"https://www.tennisfrens.com/players/dominic-thiem",1,9,11.11,25.00
"https://www.tennisfrens.com/players/hailey-baptiste",1,9,11.11,20.78
"https://tennisfrens.com/",0,9,0.00,4.00
"https://www.tennisfrens.com/blog/aw-227-tennis-guide",0,9,0.00,10.56
"https://www.tennisfrens.com/players/alexander-bublik",0,8,0.00,18.63
"https://www.tennisfrens.com/players/elise-mertens",0,8,0.00,16.63
"https://www.tennisfrens.com/players/hugo-gaston",0,8,0.00,9.50
"https://www.tennisfrens.com/players/lulu-sun",0,8,0.00,20.50
"https://www.tennisfrens.com/players/wang-xinyu",0,8,0.00,26.00
"https://www.tennisfrens.com/blog/tennis-beginner-30day-practice-order",1,7,14.29,17.71
"https://www.tennisfrens.com/blog/hard-court-shoe-wear-pattern",0,7,0.00,6.86
"https://www.tennisfrens.com/blog/tennis-forehand-impact-timing-guide",0,7,0.00,10.43
"https://www.tennisfrens.com/blog/tennis-ntrp-2-to-3",0,7,0.00,7.29
"https://www.tennisfrens.com/blog/tennis-windy-condition-tips",0,7,0.00,4.14
"https://www.tennisfrens.com/players/anna-bondar",0,7,0.00,5.57
"https://tennisfrens.com/players/lleyton-hewitt",0,6,0.00,7.83
"https://www.tennisfrens.com/blog/tennis-moonball-response",0,6,0.00,7.67
"https://www.tennisfrens.com/blog/tennis-shoes-balance-guide",0,6,0.00,10.83
"https://www.tennisfrens.com/players/arthur-fils",0,6,0.00,13.33
"https://www.tennisfrens.com/players/federico-cina",0,6,0.00,6.83
"https://www.tennisfrens.com/players/jasmine-paolini",0,6,0.00,12.17
"https://www.tennisfrens.com/players/diane-parry",1,5,20.00,7.20
"https://tennisfrens.com/players/arthur-fils",0,5,0.00,9.00
"https://tennisfrens.com/players/luca-van-assche",0,5,0.00,6.00
"https://www.tennisfrens.com/blog/tennis-kick-serve-technique",0,5,0.00,24.60
"https://www.tennisfrens.com/blog/tennis-ntrp-25-to-30-guide",0,5,0.00,7.40
"https://www.tennisfrens.com/blog/tennis-overgrip-guide",0,5,0.00,7.40
"https://www.tennisfrens.com/players/alexander-blockx",0,5,0.00,21.40
"https://www.tennisfrens.com/players/denis-shapovalov",0,5,0.00,17.20
"https://www.tennisfrens.com/players/holger-rune/",0,5,0.00,8.00
