pagePath,pageTitle,screenPageViews,totalUsers,sessions,averageSessionDuration,bounceRate,engagementRate
"/utility/ntrp-test/test","NTRP 실력 테스트",403,157,167,28.245968341317369,0.023952095808383235,0.9760479041916168
"/players/hugo-gaston","위고 가스통 tennis player | ranking, profile, ATP",389,322,339,91.995188522123883,0.24778761061946902,0.75221238938053092
"/utility/ntrp-test/result","NTRP 실력 테스트",348,148,165,162.67989347272729,0.072727272727272724,0.92727272727272725
"/","TennisFriends - 테니스 실력 테스트 & 분석 도구 | NTRP 측정, 스트링 텐션 ��산기",240,138,149,34.501601241610736,0.24161073825503357,0.75838926174496646
"/utility/ntrp-test","NTRP 테스트 | 테니스 실력 등급 무료 측정 | TennisFriends",232,129,138,35.198298195652171,0.18115942028985507,0.8188405797101449
"/utility/ntrp-test","NTRP 테니스 실력 테스트 — 내 테니스 레벨 무료 측정 | TennisFriends",155,79,81,59.335132172839508,0.07407407407407407,0.92592592592592593
"/utility","테니스 유틸리티 도구 모음 | TennisFriends",131,47,48,17.268670979166668,0.020833333333333332,0.97916666666666663
"/utility","테니스 유틸리티 도구 모음 | TennisFriends | TennisFriends",91,35,39,9.9612866153846156,0.076923076923076927,0.92307692307692313
"/utility/string-tension/test","스트링 텐션 계산기",90,20,21,44.195051380952386,0,1
"/utility/string-tension/result","스트링 텐션 계산기",83,18,19,110.72686231578946,0,1
"/utility/play-style-test","테니스 플레이 스타일 테스트 | TennisFriends",73,32,32,19.76027384375,0.0625,0.9375
"/players","테니스 선수 프로필 및 랭킹 분석 | TennisFriends",62,17,17,65.658827470588236,0.11764705882352941,0.88235294117647056
"/utility/string-tension","스트링 텐션 계산기 | TennisFriends",62,29,30,17.895246266666668,0.2,0.8
"/players/anastasia-potapova","아나스타샤 포타포바 테니스 선수 | 플레이 스타일·강점·WTA 프로필",58,53,57,97.775027157894741,0.31578947368421051,0.68421052631578949
"/players/marta-kostyuk","마르타 코스튜크 테니스 선수 | 플레이 스타일·강점·WTA 프로필",58,46,50,57.365713320000005,0.24,0.76
"/utility/equipment-recommendation","테니스 장비 추천 | TennisFriends",53,20,21,57.152395333333331,0,1
"/utility/play-style-test/test","플레이 스타일 진단",51,19,19,22.726168315789472,0,1
"/utility/tennis-dictionary","테니스 용어 사전 | 50+ 필수 용어 완벽 정리",48,43,45,208.76950862222219,0.26666666666666666,0.73333333333333328
"/blog/tennis-racket-recommendation-guide-2026","2026년 테니스 라켓 추천 가이드 — 초보자부터 상급자까지 BEST 5 | 윌슨, 바볼랏, 요넥스",39,37,38,155.96110018421052,0.26315789473684209,0.73684210526315785
