page,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/jack-draper",0,4,0.00,19.75
"https://www.tennisfrens.com/players/joao-fonseca",0,4,0.00,26.25
"https://www.tennisfrens.com/players/linda-noskova",0,4,0.00,15.50
"https://www.tennisfrens.com/players/terence-atmane",0,4,0.00,10.00
"https://www.tennisfrens.com/players/zizou-bergs",0,4,0.00,8.25
"https://tennisfrens.com/players/pedro-cachin",1,3,33.33,12.00
"https://tennisfrens.com/players/alejandro-tabilo",0,3,0.00,10.33
"https://tennisfrens.com/players/lleyton-hewitt",0,3,0.00,10.00
"https://tennisfrens.com/utility/string-tension",0,3,0.00,7.67
"https://www.tennisfrens.com/about",0,3,0.00,15.33
"https://www.tennisfrens.com/blog/aw-028-shoes",0,3,0.00,4.00
"https://www.tennisfrens.com/blog/aw-230-racket-beginner",0,3,0.00,8.33
"https://www.tennisfrens.com/blog/serve-placement-over-speed-match-strategy",0,3,0.00,2.00
"https://www.tennisfrens.com/blog/tennis-core-exercise-guide",0,3,0.00,12.67
"https://www.tennisfrens.com/blog/tennis-footwork-training",0,3,0.00,5.00
"https://www.tennisfrens.com/blog/tennis-forehand-error-correction",0,3,0.00,32.00
"https://www.tennisfrens.com/blog/tennis-korea-spring-fine-dust",0,3,0.00,3.33
"https://www.tennisfrens.com/blog/tennis-ntrp-25-to-30-guide",0,3,0.00,6.00
"https://www.tennisfrens.com/blog/tournament-day-food-guide",0,3,0.00,12.67
"https://www.tennisfrens.com/players/alexander-zverev",0,3,0.00,8.67
"https://www.tennisfrens.com/players/alexandre-muller",0,3,0.00,5.33
"https://www.tennisfrens.com/players/anastasia-potapova",0,3,0.00,10.67
"https://www.tennisfrens.com/players/andrey-rublev",0,3,0.00,9.00
"https://www.tennisfrens.com/players/grigor-dimitrov",0,3,0.00,14.33
"https://www.tennisfrens.com/players/katie-boulter",0,3,0.00,14.33
"https://www.tennisfrens.com/players/maria-sharapova",0,3,0.00,12.67
"https://www.tennisfrens.com/players/paula-badosa",0,3,0.00,14.00
"https://www.tennisfrens.com/players/qinwen-zheng",0,3,0.00,5.67
"https://www.tennisfrens.com/players/roman-safiullin",0,3,0.00,8.67
"https://www.tennisfrens.com/players/sebastian-korda",0,3,0.00,8.00
"https://www.tennisfrens.com/players/tallon-griekspoor",0,3,0.00,9.33
"https://www.tennisfrens.com/utility/court-booking",0,3,0.00,67.67
"https://www.tennisfrens.com/utility/training-planner",0,3,0.00,4.33
"https://www.tennisfrens.com/blog/tennis-beginner-30day-practice-order",1,2,50.00,7.00
"https://www.tennisfrens.com/blog/tennis-rainy-weather-tips",1,2,50.00,5.50
"https://www.tennisfrens.com/players/hailey-baptiste",1,2,50.00,12.00
"https://tennisfrens.com/blog/tennis-backhand-return-guide",0,2,0.00,8.50
"https://tennisfrens.com/blog/tennis-moon-ball-counter",0,2,0.00,7.00
"https://tennisfrens.com/blog/tennis-tiebreak-strategy-guide",0,2,0.00,6.00
"https://tennisfrens.com/players/zizou-bergs",0,2,0.00,11.00
"https://www.tennisfrens.com/blog/aw-061-5",0,2,0.00,2.00
"https://www.tennisfrens.com/blog/ben-shelton",0,2,0.00,13.00
"https://www.tennisfrens.com/blog/hard-court-shoe-wear-pattern",0,2,0.00,5.00
"https://www.tennisfrens.com/blog/lob-defense-transition-guide",0,2,0.00,7.00
"https://www.tennisfrens.com/blog/string-replacement-cycle-guide",0,2,0.00,15.00
"https://www.tennisfrens.com/blog/tennis-doubles-partner-finding",0,2,0.00,1.50
"https://www.tennisfrens.com/blog/tennis-doubles-receive-formation",0,2,0.00,10.00
"https://www.tennisfrens.com/blog/tennis-doubles-strategy-guide",0,2,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-hydration-guide",0,2,0.00,6.50
"https://www.tennisfrens.com/blog/tennis-injury-prevention-recovery",0,2,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-match-nerves-control",0,2,0.00,8.00
"https://www.tennisfrens.com/blog/tennis-ntrp-30-to-35-guide",0,2,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-ntrp-35-to-40-guide",0,2,0.00,7.00
"https://www.tennisfrens.com/blog/tennis-overgrip-guide",0,2,0.00,10.50
"https://www.tennisfrens.com/blog/tennis-postmatch-recovery-routine",0,2,0.00,6.00
"https://www.tennisfrens.com/blog/tennis-return-of-serve-guide",0,2,0.00,19.00
"https://www.tennisfrens.com/blog/tennis-video-review-checklist",0,2,0.00,9.50
"https://www.tennisfrens.com/blog/tennis-wall-practice-drills",0,2,0.00,14.50
"https://www.tennisfrens.com/players",0,2,0.00,10.00
"https://www.tennisfrens.com/players/alexei-popyrin",0,2,0.00,9.50
"https://www.tennisfrens.com/players/anna-bondar",0,2,0.00,4.50
"https://www.tennisfrens.com/players/botic-van-de-zandschulp",0,2,0.00,5.50
"https://www.tennisfrens.com/players/daniil-medvedev",0,2,0.00,30.00
"https://www.tennisfrens.com/players/duje-ajdukovic",0,2,0.00,10.50
"https://www.tennisfrens.com/players/harold-mayot",0,2,0.00,4.00
"https://www.tennisfrens.com/players/holger-rune/",0,2,0.00,6.50
"https://www.tennisfrens.com/players/kim-clijsters",0,2,0.00,11.00
"https://www.tennisfrens.com/players/maria-sakkari-legacy",0,2,0.00,43.50
"https://www.tennisfrens.com/players/matteo-arnaldi",0,2,0.00,12.00
"https://www.tennisfrens.com/players/pavel-kotov",0,2,0.00,5.00
"https://www.tennisfrens.com/players/taylor-fritz",0,2,0.00,12.00
"https://www.tennisfrens.com/players/varvara-gracheva",0,2,0.00,12.00
"https://www.tennisfrens.com/utility/calorie-calculator",0,2,0.00,7.00
"https://www.tennisfrens.com/utility/flexibility-test",0,2,0.00,40.50
"https://www.tennisfrens.com/utility/reaction-test",0,2,0.00,26.50
"https://www.tennisfrens.com/utility/training-planner/test",0,2,0.00,21.50
"https://www.tennisfrens.com/utility/utr-calculator",0,2,0.00,4.50
"https://tennisfrens.com/players/duckhee-lee",1,1,100.00,4.00
"https://tennisfrens.com/players/xinyu-wang",1,1,100.00,9.00
"https://www.tennisfrens.com/blog/aw-194-return-beginner",1,1,100.00,4.00
"https://www.tennisfrens.com/blog/aw-235-racket-285g-300g-315g-20",1,1,100.00,12.00
"https://www.tennisfrens.com/blog/doubles-partner-signs-common-mistakes",1,1,100.00,9.00
"https://www.tennisfrens.com/blog/tennis-post-match-recovery",1,1,100.00,17.00
"https://www.tennisfrens.com/utility/play-style-test",1,1,100.00,2.00
"https://tennisfrens.com/blog/tennis-self-talk-strategy",0,1,0.00,8.00
"https://tennisfrens.com/players/alibek-kachmazov",0,1,0.00,8.00
"https://tennisfrens.com/players/arantxa-rus",0,1,0.00,4.00
"https://tennisfrens.com/players/duje-ajdukovic",0,1,0.00,5.00
"https://tennisfrens.com/players/karen-khachanov",0,1,0.00,9.00
"https://tennisfrens.com/players/sebastian-ofner",0,1,0.00,8.00
"https://tennisfrens.com/players/thiago-seyboth-wild",0,1,0.00,2.00
"https://tennisfrens.com/players/tomas-barrios",0,1,0.00,8.00
"https://tennisfrens.com/tennis-rules-quiz",0,1,0.00,6.00
"https://www.tennisfrens.com/blog",0,1,0.00,1.00
"https://www.tennisfrens.com/blog/adult-beginner-first-racket-guide",0,1,0.00,11.00
"https://www.tennisfrens.com/blog/aw-026-court-beginner",0,1,0.00,10.00
"https://www.tennisfrens.com/blog/aw-038-string-beginner",0,1,0.00,56.00
"https://www.tennisfrens.com/blog/aw-042-serve-return",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/aw-063-racket-285g-300g-315g-record",0,1,0.00,3.00
"https://www.tennisfrens.com/blog/aw-103-doubles-20",0,1,0.00,6.00
"https://www.tennisfrens.com/blog/aw-109-shoes-court-shoes-5",0,1,0.00,11.00
"https://www.tennisfrens.com/blog/aw-181-club-match-5",0,1,0.00,4.00
"https://www.tennisfrens.com/blog/aw-254-serve-beginner",0,1,0.00,7.00
"https://www.tennisfrens.com/blog/aw-274-record",0,1,0.00,4.00
"https://www.tennisfrens.com/blog/backhand-wrist-pain-posture-beginner-intermediate",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/casper-ruud",0,1,0.00,11.00
"https://www.tennisfrens.com/blog/drop-shot-selection-guide",0,1,0.00,3.00
"https://www.tennisfrens.com/blog/forehand-spin-flat-selection-guide",0,1,0.00,35.00
"https://www.tennisfrens.com/blog/junior-racket-length-weight-monthly-check",0,1,0.00,5.00
"https://www.tennisfrens.com/blog/knee-friendly-tennis-shoe-selection",0,1,0.00,6.00
"https://www.tennisfrens.com/blog/night-tennis-visibility-timing-guide",0,1,0.00,3.00
"https://www.tennisfrens.com/blog/public-tennis-court-reservation-time-comparison",0,1,0.00,4.00
"https://www.tennisfrens.com/blog/summer-tennis-overheat-management",0,1,0.00,4.00
"https://www.tennisfrens.com/blog/tennis-children-beginner-guide",0,1,0.00,36.00
"https://www.tennisfrens.com/blog/tennis-dampener-effectiveness",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-doubles-poach-strategy",0,1,0.00,10.00
"https://www.tennisfrens.com/blog/tennis-first-rally-goal-beginner",0,1,0.00,21.00
"https://www.tennisfrens.com/blog/tennis-inmatch-condition-management",0,1,0.00,5.00
"https://www.tennisfrens.com/blog/tennis-intermediate-match-strategy",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-korea-summer-humidity",0,1,0.00,7.00
"https://www.tennisfrens.com/blog/tennis-lob-when-to-use",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-mental-routine-control-guide",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-mixed-doubles-strategy",0,1,0.00,5.00
"https://www.tennisfrens.com/blog/tennis-pre-match-routine",0,1,0.00,31.00
