pagePath,pageTitle,screenPageViews,totalUsers,sessions,averageSessionDuration,bounceRate,engagementRate
"/players/elina-svitolina","엘리나 스비톨리나 tennis player | ranking, profile, WTA",20,10,10,228.53248990000003,0.2,0.8
"/players/francisco-cerundolo","프란시스코 세룬돌로 선수 프로필 | 랭킹·전적·플레이스타일 ATP",18,16,16,233.67699781250002,0.125,0.875
"/blog/tennis-racket-selection-guide","테니스 라켓 선택 완전 가이드 — 무게·밸런스·스트링 세팅으로 결정되는 퍼포먼스 차이 | 당신의 플레이 스타일에 맞는 최적의 라켓 찾기",16,16,16,221.8288268125,0.0625,0.9375
"/players/belinda-bencic","벨린다 벤치치 tennis player | ranking, profile, WTA",16,14,14,62.573195214285718,0.14285714285714285,0.8571428571428571
"/tennis-rules-quiz","테니스 규칙 퀴즈 | TennisFriends | TennisFriends",16,9,9,10.099690555555556,0.22222222222222221,0.77777777777777779
"/blog","테니스 블로그 - 전략, 기술, 장비 가이드 | TennisFriends | TennisFriends",15,7,7,20.390392428571428,0,1
"/players/jannik-sinner","야닉 시너 완전 분석 | 플레이 스타일·명경기·ATP 프로필",15,13,13,124.66508292307692,0.30769230769230771,0.69230769230769229
"/utility/training-planner","테니스 훈련 플래너 | TennisFriends",15,6,6,8.4367738333333335,0,1
"/players/gael-monfils","가엘 몽피스 선수 프로필 | 랭킹·전적·플레이스타일 ATP",13,11,11,27.998487909090908,0.090909090909090912,0.90909090909090906
"/blog/tennis-overgrip-guide","오버그립 교체 주기와 종류(건식/습식) 추천",12,7,7,80.17243642857143,0.42857142857142855,0.5714285714285714
"/players/erika-andreeva","에리카 안드레에바 tennis player | ranking, profile, WTA",12,8,8,43.645268124999994,0.125,0.875
"/players/marie-bouzkova","마리 부즈코바 프로필 | WTA 랭킹·수비력·최근 경기",12,6,7,336.972396,0.42857142857142855,0.5714285714285714
"/players/mirra-andreeva","미라 안드레예바 tennis player | ranking, profile, WTA",12,9,9,90.533845444444452,0,1
"/utility/court-booking","테니스 코트 예약 | TennisFriends",12,1,1,98.340066,0,1
"/players/dino-prizmic","디노 프리즈미치 프로필 | 랭킹·전적",11,8,9,128.20895066666668,0.1111111111111111,0.88888888888888884
"/players/mirra-andreeva","미라 안드레예바 테니스 선수 | 플레이 스타일·강점·WTA 프로필",11,4,4,44.955637,0,1
"/players/anna-bondar","안나 본다르 tennis player | ranking, profile, WTA",10,7,7,32.617792857142852,0.2857142857142857,0.7142857142857143
"/players/hugo-dellien","우고 델리엔 tennis player | ranking, profile, ATP",10,9,9,117.29101755555556,0.33333333333333331,0.66666666666666663
"/players/mirra-andreeva-legacy","미�� 안드레예바 tennis player | ranking, profile, WTA",10,8,8,66.942648125,0.125,0.875
"/tennis-rules-quiz/quiz","테니스 규칙 퀴즈 | TennisFriends | TennisFriends",10,5,5,11.4665848,0,1
"/players/alexander-shevchenko","알렉산더 셰브첸코 tennis player | ranking, profile, ATP",9,8,9,92.716993333333335,0.22222222222222221,0.77777777777777779
"/players/hailey-baptiste","헤일리 밥티스트 테니스 선수 | 플레이 스타일·강점·WTA 프로필",9,4,4,42.56498625,0,1
"/players/nick-kyrgios","닉 키리오스 tennis player | ranking, profile, ATP",9,6,6,80.806013000000007,0.16666666666666666,0.83333333333333337
"/players/sloane-stephens","슬론 스티븐스 tennis player | ranking, profile, WTA",9,8,9,97.844758222222225,0.1111111111111111,0.88888888888888884
"/blog/string-tension-feel-guide","스트링 텐션 감각 가이드 — 숫자보다 중요한 기준",8,4,4,101.44556025,0,1
"/players/elena-rybakina","엘레나 리바키나 테니스 선수 | 플레이 스타일·강점·WTA 프로필",8,3,3,363.47930033333336,0,1
