deviceCategory,sessions,totalUsers,bounceRate,averageSessionDuration
"mobile",1802,1637,0.28079911209766928,107.89379611542732
"desktop",344,300,0.31976744186046513,165.59428166279071
"tablet",21,21,0.2857142857142857,114.17756299999999
